Fecha,Mes,Punto de Muestreo,Analito,Resultado numérico,Cumplimiento,,AÑO,Analito (Limpio),,,Muestras Totales,48
9/1/2026,enero,Personal de preparación de insumos,Staphylococcus aureus (ufc/mano),28,Fuera de límite,28,2026,Staphylococcus aureus (ufc/mano),,,,
9/1/2026,enero,Personal de paila/rompedora,Staphylococcus aureus (ufc/mano),0,Dentro de límite,0,2026,Staphylococcus aureus (ufc/mano),,,,
9/1/2026,enero,Personal de grageados ,Staphylococcus aureus (ufc/mano),0,Dentro de límite,0,2026,Staphylococcus aureus (ufc/mano),,,,
9/1/2026,enero,Personal de envasado,Staphylococcus aureus (ufc/mano),0,Dentro de límite,0,2026,Staphylococcus aureus (ufc/mano),,,,
9/1/2026,enero,Personal de preparación de insumos,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
9/1/2026,enero,Personal de paila/rompedora,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
9/1/2026,enero,Personal de grageados ,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
9/1/2026,enero,Personal de envasado,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
26/01/2026,enero,Personal de preparación de insumos,Staphylococcus aureus (ufc/mano),0,Dentro de límite,0,2026,Staphylococcus aureus (ufc/mano),,,,
26/01/2026,enero,Personal de paila/rompedora,Staphylococcus aureus (ufc/mano),0,Dentro de límite,0,2026,Staphylococcus aureus (ufc/mano),,,,
26/01/2026,enero,Personal de grageados ,Staphylococcus aureus (ufc/mano),0,Dentro de límite,0,2026,Staphylococcus aureus (ufc/mano),,,,
26/01/2026,enero,Personal de envasado,Staphylococcus aureus (ufc/mano),2,Dentro de límite,2,2026,Staphylococcus aureus (ufc/mano),,,,
26/01/2026,enero,Personal de preparación de insumos,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
26/01/2026,enero,Personal de paila/rompedora,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
26/01/2026,enero,Personal de grageados ,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
26/01/2026,enero,Personal de envasado,Enterobacterias (ufc/mano),2,Dentro de límite,2,2026,Enterobacterias (ufc/mano),,,,
10/2/2026,febrero,Personal de preparación de insumos,Staphylococcus aureus (ufc/mano),0,Dentro de límite,0,2026,Staphylococcus aureus (ufc/mano),,,,
10/2/2026,febrero,Personal de paila/rompedora,Staphylococcus aureus (ufc/mano),0,Dentro de límite,0,2026,Staphylococcus aureus (ufc/mano),,,,
10/2/2026,febrero,Personal de grageados ,Staphylococcus aureus (ufc/mano),0,Dentro de límite,0,2026,Staphylococcus aureus (ufc/mano),,,,
10/2/2026,febrero,Personal de envasado,Staphylococcus aureus (ufc/mano),2,Dentro de límite,2,2026,Staphylococcus aureus (ufc/mano),,,,
10/2/2026,febrero,Personal de preparación de insumos,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
10/2/2026,febrero,Personal de paila/rompedora,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
10/2/2026,febrero,Personal de grageados ,Enterobacterias (ufc/mano),2,Dentro de límite,2,2026,Enterobacterias (ufc/mano),,,,
10/2/2026,febrero,Personal de envasado,Enterobacterias (ufc/mano),4,Dentro de límite,4,2026,Enterobacterias (ufc/mano),,,,
24/02/2026,febrero,Personal de preparación de insumos,Staphylococcus aureus (ufc/mano),2,Dentro de límite,2,2026,Staphylococcus aureus (ufc/mano),,,,
24/02/2026,febrero,Personal de paila/rompedora,Staphylococcus aureus (ufc/mano),4,Dentro de límite,4,2026,Staphylococcus aureus (ufc/mano),,,,
24/02/2026,febrero,Personal de grageados ,Staphylococcus aureus (ufc/mano),10,Fuera de límite,10,2026,Staphylococcus aureus (ufc/mano),,,,
24/02/2026,febrero,Personal de envasado,Staphylococcus aureus (ufc/mano),140,Fuera de límite,140,2026,Staphylococcus aureus (ufc/mano),,,,
24/02/2026,febrero,Personal de preparación de insumos,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
24/02/2026,febrero,Personal de paila/rompedora,Enterobacterias (ufc/mano),36,Fuera de límite,36,2026,Enterobacterias (ufc/mano),,,,
24/02/2026,febrero,Personal de grageados ,Enterobacterias (ufc/mano),8,Dentro de límite,8,2026,Enterobacterias (ufc/mano),,,,
24/02/2026,febrero,Personal de envasado,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
5/3/2026,marzo,Personal de preparación de insumos,Staphylococcus aureus (ufc/mano),68,Fuera de límite,68,2026,Staphylococcus aureus (ufc/mano),,,,
5/3/2026,marzo,Personal de paila/rompedora,Staphylococcus aureus (ufc/mano),72,Fuera de límite,72,2026,Staphylococcus aureus (ufc/mano),,,,
5/3/2026,marzo,Personal de grageados ,Staphylococcus aureus (ufc/mano),62,Fuera de límite,62,2026,Staphylococcus aureus (ufc/mano),,,,
5/3/2026,marzo,Personal de envasado,Staphylococcus aureus (ufc/mano),80,Fuera de límite,80,2026,Staphylococcus aureus (ufc/mano),,,,
5/3/2026,marzo,Personal de preparación de insumos,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
5/3/2026,marzo,Personal de paila/rompedora,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
5/3/2026,marzo,Personal de grageados ,Enterobacterias (ufc/mano),2,Dentro de límite,2,2026,Enterobacterias (ufc/mano),,,,
5/3/2026,marzo,Personal de envasado,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
19/03/2026,marzo,Personal de preparación de insumos,Staphylococcus aureus (ufc/mano),0,Dentro de límite,0,2026,Staphylococcus aureus (ufc/mano),,,,
19/03/2026,marzo,Personal de paila/rompedora,Staphylococcus aureus (ufc/mano),4,Dentro de límite,4,2026,Staphylococcus aureus (ufc/mano),,,,
19/03/2026,marzo,Personal de grageados ,Staphylococcus aureus (ufc/mano),0,Dentro de límite,0,2026,Staphylococcus aureus (ufc/mano),,,,
19/03/2026,marzo,Personal de envasado,Staphylococcus aureus (ufc/mano),42,Fuera de límite,42,2026,Staphylococcus aureus (ufc/mano),,,,
19/03/2026,marzo,Personal de preparación de insumos,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
19/03/2026,marzo,Personal de paila/rompedora,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
19/03/2026,marzo,Personal de grageados ,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
19/03/2026,marzo,Personal de envasado,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
9/4/2026,abril,Personal de preparación de insumos,Staphylococcus aureus (ufc/mano),0,Dentro de límite,0,2026,Staphylococcus aureus (ufc/mano),,,,
9/4/2026,abril,Personal de paila/rompedora,Staphylococcus aureus (ufc/mano),0,Dentro de límite,26,2026,Staphylococcus aureus (ufc/mano),,,,
9/4/2026,abril,Personal de grageados ,Staphylococcus aureus (ufc/mano),0,Dentro de límite,10,2026,Staphylococcus aureus (ufc/mano),,,,
9/4/2026,abril,Personal de envasado,Staphylococcus aureus (ufc/mano),0,Dentro de límite,6,2026,Staphylococcus aureus (ufc/mano),,,,
9/4/2026,abril,Personal de preparación de insumos,Enterobacterias (ufc/mano),0,Dentro de límite,8,2026,Enterobacterias (ufc/mano),,,,
9/4/2026,abril,Personal de paila/rompedora,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
9/4/2026,abril,Personal de grageados ,Enterobacterias (ufc/mano),0,Dentro de límite,0,2026,Enterobacterias (ufc/mano),,,,
9/4/2026,abril,Personal de envasado,Enterobacterias (ufc/mano),0,Dentro de límite,2,2026,Enterobacterias (ufc/mano),,,,
